,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
2792,Tweet,NATE_HIATT,1410,5000,20,195927,,,,NATE_HIATT,993037,2480,5415,79758,,,
2793,Tweet,EvanKirstel,318454,280578,13114,1069913,,,,EvanKirstel,993037,2480,5415,79758,,,
2794,Tweet,simonsaysz,686,713,2,1042,,,,simonsaysz,993037,2480,5415,79758,,,
2795,RT,Retro4daRams,227,588,0,893,,,,FiyaMayneMusic,4,3,0,1,,,
2796,RT,FiendOfAsh,102,260,2,4681,,,,SNFonNBC,993037,2480,5415,79758,,,
2797,RT,justinmv15,1233,491,23,301506,,,,RamsNFL,1060486,512,6389,59603,,,
2798,RT,TLegix,408,354,3,13972,,,,zimwhodey,13173,447,79,23698,,,
2799,Tweet,GratefulHusker,457,879,2,34238,,,,GratefulHusker,13173,447,79,23698,,,
2800,RT,Cardscheapseats,164,596,0,2652,,,,7thGypsy,4075,4379,63,110098,,,
2801,RT,genara_morris,46,601,0,652,,,,NoireOnline_,43,73,0,368,,,
2802,Tweet,pattykvilla,5893,6289,12,189729,,,,pattykvilla,43,73,0,368,,,
2803,RT,radiodoucette,315,548,6,32536,,,,TinaCervasio,38820,2674,905,30683,,,
2804,RT,ryanrawlings,4457,1970,9,24222,,,,ryanrawlings,4457,1970,9,24222,,,
2805,RT,OhioAgainstAll,245,476,3,8695,,,,TFatbeard,208,285,0,2238,,,
2806,RT,DeadboyMarty,434,1410,0,19278,,,,RamsNFL,1060486,512,6389,59603,,,
2807,RT,bernardlolo35,117,2239,35,45843,,,,NFLFrance,20866,200,100,21659,,,
2808,RT,GIOxLIM,1303,1090,10,12264,,,,RamsNFL,1060486,512,6389,59603,,,
2809,Tweet,Rubenstahl92,58,313,0,1137,,,,Rubenstahl92,1060486,512,6389,59603,,,
2810,RT,plscanushutup,368,926,3,75935,,,,WUTangKids,98482,943,291,6933,,,
